90487,Pop
90487,Psychedelic
90487,Alternative Pop
5687,Florida
5687,Summer
5687,Southern
5687,R&B
5687,Rap
81615,Pop
81615,Country
158737,Emo
158737,Acoustic
158737,Ballad
158737,Rock
177239,R&B
177239,Rap
62177,R&B
32326,Interscope Records
32326,Hip-Hop
32326,R&B
32326,Pop
32326,Rap
7722,R&B
96005,Pop-Rock
96005,Pop-Punk
96005,Canada
96005,Pop
107870,Protest Songs
107870,Adult Contemporary
107870,Alternative Dance
107870,Adult Alternative
107870,Rock
107870,Pop-Rock
107870,Dance-Pop
107870,Pop
42105,Rap
2847,Shady Records
2847,R&B
2847,Rap
708,Capitol Records
708,New York
708,Crunk
708,Rap
392133,Post-Grunge
392133,Pop
392133,Pop-Rock
392133,Rock
30290,Rap
32275,Dance-Pop
32275,Dance
32275,Electro-Pop
32275,Electronic
32275,Hip-Hop
32275,Pop
32275,Rap
1711,Hip-Hop
1711,Dirty South
1711,Universal
1711,Summer
1711,Dance
1711,Interscope Records
1711,Southern
1711,Atlanta
1711,Crunk
1711,Memes
1711,Rap
30280,Beef
30280,Portugal
30280,Canada
30280,Tennessee
30280,Memphis
30280,Southern
30280,West Coast
30280,Interscope Records
30280,Dance-Pop
30280,Dance
30280,R&B
30280,Electro-Pop
30280,Electro
30280,Pop
30280,Rap
65651,Adult Contemporary
65651,Adult Alternative
65651,Pop-Rock
65651,Alternative Rock
65651,Epic Records
65651,Pop
65651,Rock
392145,Soundtrack
392145,Pop-Rock
392145,Pop
392145,Rock
2586,Rap
2586,Electro-Pop
2586,R&B
2586,Pop
525,France
525,Pop
525,Electro-Hop
525,Electronic
525,House
525,Roc Nation
525,Producer 
525,Def Jam Recordings
525,G.O.O.D. Music
525,Chicago
525,Rap
80,Producer 
80,Rap
195167,Pop
195167,Rock
42480,Rap
102792,Protest Songs
102792,Electronic Rock
102792,Decaydance Records
102792,Alternative Pop
102792,Alternative
102792,Alternative Rock
102792,Pop-Rock
102792,Punk Rock
102792,Pop-Punk
102792,Emo
102792,Rock
44357,R&B
22875,Rap
1616,Rap
133035,Hard Rock
133035,Rock
131359,Island Records
131359,Pop-Rock
131359,Decaydance Records
131359,Punk Rock
131359,Alternative Pop
131359,Alternative
131359,Emo
131359,Alternative Rock
131359,Pop-Punk
131359,Rock
83180,Alternative
83180,Rock
83180,Alternative Rock
33027,R&B
33027,Rap
2285826,Pop
38144,Pop
38144,R&B
38144,Rap
19749,Rap
117422,R&B
187904,Alternative Rock
187904,Rock
157246,Protest Songs
157246,Singer-Songwriter
157246,Adult Alternative
157246,Adult Contemporary
157246,Pop-Rock
157246,Soul
157246,Blues Rock
157246,Rock
148189,R&B
148189,Pop
32285,Pop
32285,R&B
32285,Rap
266740,Rock
67998,Rap
27828,R&B
27828,Rap
397654,Alternative Rock
397654,Rock
3700,Rap
297931,R&B
11181,Rap
133519,Hard Rock
133519,Post-Hardcore
133519,Emo
133519,Alternative Rock
133519,Pop-Punk
133519,Rock
37362,Rap
102032,Rock
32771,Electro-Pop
32771,R&B
32771,Pop
199018,Pop
199018,Canada
32495,Soul Pop
32495,R&B
32495,Rap
1830,R&B
1830,Producer 
1830,Pop
441426,Pop
102913,Rap
102913,R&B
195138,Pop-Rock
195138,Pop
198457,Glam Rock
198457,Pop
198457,Rock
61434,R&B
57235,R&B
6031,Rap
52860,Adult Alternative
52860,Pop
52860,Funk
52860,Soul Jazz
52860,Soul Pop
52860,R&B
52860,Soul
52860,Rock
2456245,Rap
428036,Soul
428036,Soul Pop
428036,Pop
428036,R&B
609434,Rock
48375,Rap
653324,Rock
423090,Electro-Pop
423090,Pop
9116,Rap
219323,Electro-Pop
219323,Electronic
219323,Dance-Pop
219323,Dance
219323,Def Jam Recordings
219323,Jamaica
219323,Dancehall
219323,Pop
425623,Rock
2572,Shady Records
2572,Aftermath Entertainment
2572,Interscope Records
2572,Rap
2572,Producer 
27826,Rap
57189,Big Machine Records
57189,Country
57189,Pop
56622,Def Jam Recordings
56622,R&B
56622,Pop
54294,Rock
5826,Rap
4514,Dance
4514,Rap
4514,Pop
4514,R&B
54576,Rock
14870,Rap
132014,Electro-Pop
132014,Electro-Funk
132014,R&B
132014,Pop
187405,Rock
282635,Rock
525416,Pop-Rock
525416,Pop
525416,R&B
525416,Rap
20062,Florida
20062,Southern
20062,Crunk
20062,Pop
20062,Electro-Pop
